season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target
springer,jan,11,NH,0,N,2,0.36,0.3333,0.71,0.2537,70
springer,jan,12,NH,0,N,2,0.36,0.3333,0.66,0.2985,93
springer,jan,13,NH,0,N,2,0.36,0.3485,0.66,0.1343,75
springer,jan,14,NH,0,N,3,0.36,0.3485,0.76,0.194,59
springer,jan,15,NH,0,N,3,0.34,0.3333,0.81,0.1642,74
springer,jan,16,NH,0,N,3,0.34,0.3333,0.71,0.1642,76
springer,jan,17,NH,0,N,1,0.34,0.3333,0.57,0.194,65
springer,jan,18,NH,0,N,2,0.36,0.3333,0.46,0.3284,53
springer,jan,19,NH,0,N,1,0.32,0.2879,0.42,0.4478,30
springer,jan,20,NH,0,N,1,0.3,0.2727,0.39,0.3582,22
springer,jan,21,NH,0,N,1,0.26,0.2273,0.44,0.3284,31
springer,jan,22,NH,0,N,1,0.24,0.2121,0.44,0.2985,9
springer,jan,23,NH,0,N,1,0.22,0.2273,0.47,0.1642,8
springer,jan,0,NH,1,Y,1,0.22,0.197,0.44,0.3582,5
springer,jan,1,NH,1,Y,1,0.2,0.1667,0.44,0.4179,2
springer,jan,4,NH,1,Y,1,0.16,0.1364,0.47,0.3881,1
springer,jan,5,NH,1,Y,1,0.16,0.1364,0.47,0.2836,3
springer,jan,6,NH,1,Y,1,0.14,0.1061,0.5,0.3881,30
springer,jan,7,NH,1,Y,1,0.14,0.1364,0.5,0.194,64
springer,jan,8,NH,1,Y,1,0.14,0.1212,0.5,0.2836,154
springer,jan,9,NH,1,Y,1,0.16,0.1364,0.43,0.3881,88
springer,jan,10,NH,1,Y,1,0.18,0.1667,0.43,0.2537,44
springer,jan,11,NH,1,Y,1,0.2,0.1818,0.4,0.3284,51
springer,jan,12,NH,1,Y,1,0.22,0.2121,0.35,0.2985,61
springer,jan,13,NH,1,Y,1,0.24,0.2121,0.35,0.2836,61
springer,jan,14,NH,1,Y,1,0.26,0.2424,0.3,0.2836,77
springer,jan,15,NH,1,Y,1,0.26,0.2424,0.3,0.2537,72
springer,jan,16,NH,1,Y,1,0.26,0.2424,0.3,0.2537,76
springer,jan,17,NH,1,Y,1,0.24,0.2273,0.3,0.2239,157
springer,jan,18,NH,1,Y,1,0.24,0.2576,0.32,0.1045,157
springer,jan,19,NH,1,Y,1,0.2,0.2576,0.47,0,110
springer,jan,20,NH,1,Y,1,0.2,0.2273,0.47,0.1045,52
springer,jan,21,NH,1,Y,1,0.18,0.197,0.64,0.1343,52
springer,jan,22,NH,1,Y,1,0.14,0.1515,0.69,0.1343,20
springer,jan,23,NH,1,Y,1,0.18,0.2121,0.55,0.1045,12
springer,jan,0,NH,2,Y,1,0.16,0.1818,0.55,0.1045,5
springer,jan,1,NH,2,Y,1,0.16,0.1818,0.59,0.1045,2
springer,jan,2,NH,2,Y,1,0.14,0.1515,0.63,0.1343,1
springer,jan,4,NH,2,Y,1,0.14,0.1818,0.63,0.0896,2
springer,jan,5,NH,2,Y,1,0.12,0.1515,0.68,0.1045,4
springer,jan,6,NH,2,Y,1,0.12,0.1515,0.74,0.1045,36
springer,jan,7,NH,2,Y,1,0.12,0.1515,0.74,0.1343,94
springer,jan,8,NH,2,Y,1,0.14,0.1515,0.69,0.1642,179
springer,jan,9,NH,2,Y,1,0.16,0.1515,0.64,0.2239,100
springer,jan,10,NH,2,Y,2,0.16,0.1364,0.69,0.3284,42
springer,jan,11,NH,2,Y,1,0.22,0.2121,0.51,0.2985,57
springer,jan,12,NH,2,Y,1,0.22,0.2273,0.51,0.1642,78
springer,jan,13,NH,2,Y,1,0.24,0.2273,0.56,0.194,97
springer,jan,14,NH,2,Y,1,0.26,0.2576,0.52,0.2239,63
springer,jan,15,NH,2,Y,1,0.28,0.2727,0.52,0.2537,65
springer,jan,16,NH,2,Y,1,0.3,0.2879,0.49,0.2537,83
springer,jan,17,NH,2,Y,1,0.28,0.2727,0.48,0.2239,212
springer,jan,18,NH,2,Y,1,0.26,0.2576,0.48,0.194,182
springer,jan,19,NH,2,Y,1,0.24,0.2576,0.48,0.1045,112
springer,jan,20,NH,2,Y,1,0.24,0.2576,0.48,0.1045,54
springer,jan,21,NH,2,Y,1,0.22,0.2727,0.64,0,48
springer,jan,22,NH,2,Y,1,0.22,0.2576,0.64,0.0896,35
springer,jan,23,NH,2,Y,1,0.2,0.2273,0.69,0.0896,11
springer,jan,0,NH,3,Y,1,0.2,0.2576,0.64,0,6
springer,jan,1,NH,3,Y,1,0.16,0.197,0.74,0.0896,6
springer,jan,2,NH,3,Y,1,0.16,0.197,0.74,0.0896,2
springer,jan,4,NH,3,Y,1,0.24,0.2273,0.48,0.2239,2
springer,jan,5,NH,3,Y,1,0.22,0.2273,0.47,0.1642,3
springer,jan,6,NH,3,Y,1,0.2,0.197,0.47,0.2239,33
springer,jan,7,NH,3,Y,1,0.18,0.1818,0.43,0.194,88
springer,jan,8,NH,3,Y,1,0.2,0.1818,0.4,0.2985,195
springer,jan,9,NH,3,Y,1,0.22,0.197,0.37,0.3284,115
springer,jan,10,NH,3,Y,1,0.22,0.197,0.37,0.3284,57
springer,jan,11,NH,3,Y,1,0.26,0.2273,0.33,0.3284,46
springer,jan,12,NH,3,Y,1,0.26,0.2273,0.33,0.3284,79
springer,jan,13,NH,3,Y,1,0.28,0.2576,0.3,0.2985,71
springer,jan,14,NH,3,Y,1,0.3,0.2879,0.28,0.194,62
springer,jan,15,NH,3,Y,1,0.3,0.2879,0.28,0.194,62
springer,jan,16,NH,3,Y,1,0.3,0.3182,0.28,0.0896,89
springer,jan,17,NH,3,Y,1,0.24,0.2273,0.38,0.194,190
springer,jan,18,NH,3,Y,1,0.24,0.2424,0.38,0.1343,169
springer,jan,19,NH,3,Y,1,0.24,0.2576,0.38,0.1045,132
springer,jan,20,NH,3,Y,1,0.22,0.2273,0.47,0.1642,89
springer,jan,21,NH,3,Y,1,0.2,0.197,0.51,0.194,43
springer,jan,22,NH,3,Y,1,0.18,0.197,0.55,0.1343,42
springer,jan,23,NH,3,Y,1,0.2,0.2576,0.47,0,19
springer,jan,0,NH,4,Y,1,0.18,0.2424,0.55,0,11
springer,jan,1,NH,4,Y,1,0.16,0.2273,0.64,0,4
springer,jan,2,NH,4,Y,1,0.16,0.2273,0.64,0,2
springer,jan,4,NH,4,Y,2,0.16,0.197,0.64,0.0896,1
springer,jan,5,NH,4,Y,2,0.14,0.1818,0.69,0.0896,4
springer,jan,6,NH,4,Y,2,0.14,0.1667,0.63,0.1045,36
springer,jan,7,NH,4,Y,2,0.16,0.2273,0.59,0,95
springer,jan,8,NH,4,Y,1,0.16,0.2273,0.59,0,219
springer,jan,9,NH,4,Y,2,0.18,0.2424,0.51,0,122
springer,jan,10,NH,4,Y,1,0.2,0.2576,0.47,0,45
springer,jan,11,NH,4,Y,1,0.22,0.2576,0.44,0.0896,59
springer,jan,12,NH,4,Y,1,0.26,0.2879,0.35,0,84
springer,jan,13,NH,4,Y,1,0.26,0.2727,0.35,0.1045,67
springer,jan,14,NH,4,Y,1,0.28,0.2727,0.36,0.1642,70
springer,jan,15,NH,4,Y,1,0.28,0.2727,0.36,0,62
springer,jan,16,NH,4,Y,1,0.26,0.2576,0.38,0.1642,86
springer,jan,17,NH,4,Y,1,0.22,0.2273,0.51,0.1642,172
springer,jan,18,NH,4,Y,1,0.22,0.2273,0.51,0.1343,163
springer,jan,19,NH,4,Y,1,0.22,0.2576,0.55,0.0896,112
springer,jan,20,NH,4,Y,1,0.2,0.2121,0.51,0.1642,69
springer,jan,21,NH,4,Y,2,0.22,0.2121,0.55,0.2239,48
springer,jan,22,NH,4,Y,2,0.22,0.2121,0.51,0.2836,52
springer,jan,23,NH,4,Y,2,0.2,0.197,0.59,0.194,23
springer,jan,0,NH,5,Y,2,0.2,0.197,0.64,0.194,17
springer,jan,1,NH,5,Y,2,0.2,0.197,0.69,0.2239,7
springer,jan,2,NH,5,Y,2,0.2,0.197,0.69,0.2239,1
springer,jan,4,NH,5,Y,2,0.2,0.2121,0.69,0.1343,1
springer,jan,5,NH,5,Y,3,0.22,0.2727,0.55,0,5
springer,jan,6,NH,5,Y,2,0.2,0.2576,0.69,0,34
springer,jan,7,NH,5,Y,1,0.2,0.2121,0.69,0.1343,84
springer,jan,8,NH,5,Y,1,0.2,0.197,0.51,0.2537,210
springer,jan,9,NH,5,Y,1,0.2,0.1818,0.47,0.2985,134
springer,jan,10,NH,5,Y,1,0.22,0.197,0.37,0.3284,63
springer,jan,11,NH,5,Y,2,0.2,0.197,0.4,0.2239,67
springer,jan,12,NH,5,Y,2,0.2,0.197,0.37,0.2537,59
springer,jan,13,NH,5,Y,2,0.2,0.1818,0.37,0.2836,73
springer,jan,14,NH,5,Y,2,0.2,0.197,0.4,0.2537,50
springer,jan,15,NH,5,Y,2,0.2,0.2121,0.37,0.1642,72
springer,jan,16,NH,5,Y,2,0.2,0.2121,0.37,0.1642,87
springer,jan,17,NH,5,Y,2,0.2,0.2576,0.37,0,187
springer,jan,18,NH,5,Y,1,0.2,0.2273,0.4,0.0896,123
springer,jan,19,NH,5,Y,1,0.16,0.197,0.55,0.0896,95
springer,jan,20,NH,5,Y,1,0.18,0.2121,0.47,0.1045,51
springer,jan,21,NH,5,Y,1,0.18,0.197,0.47,0.1343,39
springer,jan,22,NH,5,Y,2,0.18,0.197,0.43,0.1642,36
springer,jan,23,NH,5,Y,2,0.18,0.197,0.51,0.1642,15
springer,jan,0,NH,6,N,2,0.18,0.197,0.51,0.1642,25
springer,jan,1,NH,6,N,2,0.18,0.2121,0.55,0.0896,16
springer,jan,2,NH,6,N,2,0.18,0.2424,0.55,0,16
springer,jan,3,NH,6,N,3,0.18,0.197,0.55,0.1642,7
springer,jan,4,NH,6,N,3,0.18,0.197,0.55,0.1642,1
springer,jan,5,NH,6,N,2,0.16,0.1667,0.74,0.1642,5
springer,jan,6,NH,6,N,2,0.16,0.1667,0.74,0.1642,2
springer,jan,7,NH,6,N,2,0.16,0.1818,0.74,0.1045,9
springer,jan,8,NH,6,N,3,0.16,0.1818,0.93,0.1045,15
springer,jan,9,NH,6,N,3,0.16,0.1818,0.93,0.1045,20
springer,jan,10,NH,6,N,2,0.18,0.197,0.8,0.1642,61
springer,jan,11,NH,6,N,2,0.2,0.1818,0.69,0.3881,62
springer,jan,12,NH,6,N,2,0.2,0.1818,0.59,0.3582,98
springer,jan,13,NH,6,N,1,0.2,0.1818,0.44,0.3284,102
springer,jan,14,NH,6,N,1,0.2,0.1667,0.32,0.4925,95
springer,jan,15,NH,6,N,1,0.2,0.1667,0.32,0.4478,74
springer,jan,16,NH,6,N,1,0.18,0.1364,0.29,0.4478,76
springer,jan,17,NH,6,N,1,0.16,0.1212,0.37,0.5522,69
springer,jan,18,NH,6,N,1,0.14,0.1212,0.39,0.2985,55
springer,jan,19,NH,6,N,1,0.14,0.1212,0.36,0.2537,30
springer,jan,20,NH,6,N,1,0.12,0.1212,0.36,0.2537,28
springer,jan,21,NH,6,N,1,0.12,0.1061,0.39,0.3582,37
springer,jan,22,NH,6,N,1,0.12,0.1061,0.36,0.3881,34
springer,jan,23,NH,6,N,1,0.1,0.0606,0.39,0.4478,22
springer,jan,0,NH,0,N,1,0.1,0.0758,0.42,0.3881,25
springer,jan,1,NH,0,N,1,0.1,0.0606,0.42,0.4627,12
springer,jan,2,NH,0,N,1,0.1,0.0606,0.46,0.4627,11
springer,jan,3,NH,0,N,1,0.1,0.0758,0.46,0.4179,4
springer,jan,4,NH,0,N,1,0.08,0.0909,0.53,0.194,1
springer,jan,5,NH,0,N,1,0.08,0.0909,0.53,0.194,1
springer,jan,6,NH,0,N,1,0.1,0.0909,0.49,0.2836,1
springer,jan,7,NH,0,N,1,0.08,0.0909,0.53,0.194,6
springer,jan,8,NH,0,N,1,0.1,0.0909,0.49,0.2836,10
springer,jan,9,NH,0,N,1,0.12,0.0758,0.46,0.5224,19
springer,jan,10,NH,0,N,1,0.14,0.1061,0.43,0.3881,49
springer,jan,11,NH,0,N,1,0.16,0.1212,0.4,0.5224,49
springer,jan,12,NH,0,N,1,0.18,0.1364,0.37,0.4478,83
springer,jan,13,NH,0,N,1,0.2,0.1667,0.34,0.4478,75
springer,jan,14,NH,0,N,1,0.22,0.1818,0.32,0.4627,72
springer,jan,15,NH,0,N,1,0.22,0.197,0.35,0.3582,82
springer,jan,16,NH,0,N,1,0.2,0.1667,0.34,0.4478,92
springer,jan,17,NH,0,N,1,0.18,0.1515,0.37,0.3881,62
springer,jan,18,NH,0,N,1,0.16,0.1364,0.4,0.3284,48
springer,jan,19,NH,0,N,1,0.16,0.1364,0.43,0.3284,41
springer,jan,20,NH,0,N,1,0.14,0.1212,0.46,0.2537,38
springer,jan,21,NH,0,N,1,0.14,0.1061,0.46,0.4179,20
springer,jan,22,NH,0,N,1,0.14,0.1212,0.46,0.2985,15
springer,jan,23,NH,0,N,1,0.12,0.1364,0.5,0.194,6
springer,jan,0,NH,1,Y,1,0.12,0.1212,0.5,0.2836,5
springer,jan,1,NH,1,Y,1,0.12,0.1212,0.5,0.2836,1
springer,jan,2,NH,1,Y,1,0.12,0.1212,0.5,0.2239,3
springer,jan,3,NH,1,Y,1,0.12,0.1212,0.5,0.2239,1
springer,jan,4,NH,1,Y,1,0.1,0.1212,0.54,0.1343,3
springer,jan,5,NH,1,Y,1,0.1,0.1061,0.54,0.2537,3
springer,jan,6,NH,1,Y,1,0.12,0.1212,0.5,0.2836,31
springer,jan,7,NH,1,Y,1,0.12,0.1212,0.5,0.2239,77
springer,jan,8,NH,1,Y,2,0.12,0.1212,0.5,0.2836,188
springer,jan,9,NH,1,Y,2,0.14,0.1212,0.5,0.2537,94
springer,jan,10,NH,1,Y,2,0.14,0.1212,0.5,0.2985,31
springer,jan,11,NH,1,Y,2,0.16,0.1364,0.47,0.2836,30
springer,jan,12,NH,1,Y,2,0.2,0.1818,0.4,0.2836,52
springer,jan,13,NH,1,Y,2,0.2,0.1818,0.4,0.2836,54
springer,jan,14,NH,1,Y,2,0.2,0.197,0.4,0.2239,47
springer,jan,15,NH,1,Y,2,0.2,0.197,0.4,0.2239,45
springer,jan,16,NH,1,Y,1,0.2,0.2121,0.4,0.1343,74
springer,jan,17,NH,1,Y,1,0.2,0.2273,0.4,0.1045,178
springer,jan,18,NH,1,Y,1,0.2,0.197,0.4,0.2239,155
springer,jan,19,NH,1,Y,1,0.16,0.1667,0.47,0.1642,95
springer,jan,20,NH,1,Y,1,0.16,0.1667,0.5,0.1642,74
springer,jan,21,NH,1,Y,1,0.14,0.1364,0.59,0.194,38
springer,jan,22,NH,1,Y,1,0.14,0.1515,0.59,0.1642,24
springer,jan,23,NH,1,Y,1,0.14,0.1515,0.59,0.1642,18
springer,jan,0,NH,2,Y,1,0.14,0.1667,0.59,0.1045,12
springer,jan,1,NH,2,Y,1,0.14,0.1515,0.59,0.1642,3
springer,jan,2,NH,2,Y,2,0.16,0.1515,0.55,0.194,3
springer,jan,5,NH,2,Y,2,0.16,0.1818,0.55,0.1343,6
springer,jan,6,NH,2,Y,2,0.16,0.1818,0.55,0.1343,27
springer,jan,7,NH,2,Y,2,0.16,0.2273,0.55,0,99
springer,jan,8,NH,2,Y,2,0.18,0.2121,0.51,0.0896,217
springer,jan,9,NH,2,Y,2,0.18,0.197,0.51,0.1642,130
springer,jan,10,NH,2,Y,2,0.2,0.2121,0.51,0.1642,54
springer,jan,11,NH,2,Y,2,0.2,0.2121,0.47,0.1343,35
springer,jan,12,NH,2,Y,2,0.2,0.2273,0.51,0.1045,57
springer,jan,13,NH,2,Y,2,0.2,0.2273,0.59,0.0896,52
springer,jan,14,NH,2,Y,2,0.2,0.2273,0.59,0.0896,63
springer,jan,15,NH,2,Y,2,0.16,0.197,0.8,0.0896,47
springer,jan,16,NH,2,Y,2,0.16,0.1515,0.86,0.2239,76
springer,jan,17,NH,2,Y,2,0.16,0.1515,0.86,0.2239,136
springer,jan,18,NH,2,Y,3,0.16,0.1818,0.93,0.1045,95
springer,jan,19,NH,2,Y,3,0.16,0.2273,0.93,0,51
springer,jan,20,NH,2,Y,3,0.16,0.1515,0.93,0.194,32
springer,jan,21,NH,2,Y,3,0.16,0.197,0.86,0.0896,20
springer,jan,22,NH,2,Y,3,0.16,0.1818,0.93,0.1045,29
springer,jan,23,NH,2,Y,3,0.16,0.197,0.93,0.0896,19
springer,jan,0,NH,3,Y,2,0.16,0.197,0.86,0.0896,7
springer,jan,1,NH,3,Y,2,0.16,0.1818,0.86,0.1045,6
springer,jan,2,NH,3,Y,1,0.14,0.1515,0.86,0.1343,1
springer,jan,5,NH,3,Y,1,0.14,0.1515,0.86,0.1642,5
springer,jan,6,NH,3,Y,1,0.12,0.1515,0.93,0.1343,16
springer,jan,7,NH,3,Y,1,0.14,0.1515,0.69,0.1343,54
springer,jan,8,NH,3,Y,1,0.16,0.1667,0.59,0.1642,128
springer,jan,9,NH,3,Y,1,0.16,0.1364,0.59,0.3284,81
springer,jan,10,NH,3,Y,1,0.18,0.1818,0.55,0.2239,39
springer,jan,11,NH,3,Y,1,0.2,0.1818,0.51,0.3881,35
springer,jan,12,NH,3,Y,1,0.2,0.1515,0.47,0.5821,55
springer,jan,13,NH,3,Y,1,0.22,0.197,0.44,0.3582,49
springer,jan,14,NH,3,Y,1,0.2,0.1818,0.47,0.3284,44
springer,jan,15,NH,3,Y,1,0.2,0.1667,0.47,0.4179,49
springer,jan,16,NH,3,Y,1,0.22,0.197,0.44,0.3284,68
springer,jan,17,NH,3,Y,1,0.2,0.1818,0.47,0.3582,139
springer,jan,18,NH,3,Y,1,0.2,0.1515,0.47,0.5224,137
springer,jan,19,NH,3,Y,1,0.18,0.1515,0.47,0.4179,83
springer,jan,20,NH,3,Y,1,0.16,0.1364,0.5,0.3284,56
springer,jan,21,NH,3,Y,1,0.16,0.1364,0.55,0.3284,57
springer,jan,22,NH,3,Y,1,0.16,0.1212,0.55,0.4478,33
springer,jan,23,NH,3,Y,1,0.14,0.1061,0.59,0.4179,20
springer,jan,0,NH,4,Y,1,0.14,0.1212,0.59,0.2836,7
springer,jan,1,NH,4,Y,1,0.14,0.1212,0.5,0.2836,2
springer,jan,2,NH,4,Y,1,0.14,0.1212,0.5,0.3582,2
springer,jan,3,NH,4,Y,1,0.14,0.1212,0.5,0.3284,3
springer,jan,4,NH,4,Y,1,0.14,0.1212,0.5,0.2537,4
springer,jan,5,NH,4,Y,1,0.14,0.1212,0.5,0.2985,3
springer,jan,6,NH,4,Y,1,0.12,0.1515,0.54,0.1343,28
springer,jan,7,NH,4,Y,1,0.12,0.1515,0.54,0.1343,72
springer,jan,8,NH,4,Y,1,0.14,0.1364,0.5,0.194,202
springer,jan,9,NH,4,Y,1,0.14,0.1212,0.5,0.3284,139
springer,jan,10,NH,4,Y,2,0.16,0.1364,0.5,0.3582,38
springer,jan,11,NH,4,Y,2,0.2,0.1667,0.44,0.4478,37
springer,jan,12,NH,4,Y,1,0.2,0.1667,0.44,0.4179,52
springer,jan,13,NH,4,Y,1,0.22,0.197,0.41,0.4478,83
springer,jan,14,NH,4,Y,1,0.22,0.197,0.41,0.3881,42
springer,jan,15,NH,4,Y,1,0.24,0.2121,0.38,0.2985,60
springer,jan,16,NH,4,Y,1,0.24,0.2121,0.38,0.3582,78
springer,jan,17,NH,4,Y,1,0.2,0.1818,0.4,0.2836,162
springer,jan,18,NH,4,Y,1,0.2,0.1818,0.4,0.3284,144
springer,jan,19,NH,4,Y,1,0.16,0.1515,0.47,0.2537,99
springer,jan,20,NH,4,Y,1,0.16,0.1515,0.47,0.2239,64
springer,jan,21,NH,4,Y,1,0.14,0.1212,0.46,0.2985,40
springer,jan,22,NH,4,Y,1,0.14,0.1212,0.46,0.3284,30
springer,jan,23,NH,4,Y,1,0.12,0.1364,0.5,0.194,15
springer,jan,0,NH,5,Y,1,0.12,0.1364,0.5,0.194,14
springer,jan,1,NH,5,Y,1,0.1,0.1212,0.54,0.1642,5
springer,jan,2,NH,5,Y,1,0.1,0.1212,0.54,0.1343,1
springer,jan,3,NH,5,Y,1,0.1,0.1364,0.54,0.1045,1
springer,jan,5,NH,5,Y,1,0.1,0.1364,0.54,0.0896,8
springer,jan,6,NH,5,Y,1,0.1,0.1818,0.54,0,17
springer,jan,7,NH,5,Y,1,0.1,0.1212,0.74,0.1642,70
springer,jan,8,NH,5,Y,1,0.12,0.1667,0.68,0,158
springer,jan,9,NH,5,Y,1,0.14,0.1515,0.69,0.1343,117
springer,jan,10,NH,5,Y,1,0.18,0.1818,0.55,0.194,44
springer,jan,11,NH,5,Y,1,0.18,0.1667,0.51,0.2836,53
springer,jan,12,NH,5,Y,1,0.2,0.197,0.44,0.2537,61
springer,jan,13,NH,5,Y,1,0.22,0.197,0.37,0.3881,77
springer,jan,14,NH,5,Y,1,0.22,0.2121,0.41,0.2836,64
springer,jan,15,NH,5,Y,1,0.24,0.2424,0.38,0.1642,68
springer,jan,16,NH,5,Y,1,0.22,0.2424,0.41,0.1045,90
springer,jan,17,NH,5,Y,1,0.22,0.2273,0.41,0.1642,159
springer,jan,18,NH,5,Y,1,0.2,0.2576,0.47,0,139
springer,jan,19,NH,5,Y,1,0.16,0.197,0.59,0.0896,92
springer,jan,20,NH,5,Y,1,0.18,0.2424,0.59,0,68
springer,jan,21,NH,5,Y,1,0.16,0.2273,0.69,0,52
springer,jan,22,NH,5,Y,2,0.16,0.2273,0.69,0,36
springer,jan,23,NH,5,Y,2,0.18,0.2424,0.55,0,27
springer,jan,0,NH,6,N,1,0.18,0.2424,0.55,0,28
springer,jan,1,NH,6,N,2,0.16,0.197,0.59,0.0896,20
springer,jan,2,NH,6,N,2,0.16,0.197,0.59,0.0896,12
springer,jan,3,NH,6,N,2,0.16,0.2273,0.59,0,8
springer,jan,4,NH,6,N,2,0.16,0.2273,0.59,0,5
springer,jan,5,NH,6,N,1,0.16,0.2273,0.59,0,1
springer,jan,6,NH,6,N,1,0.14,0.1667,0.63,0.1045,3
springer,jan,7,NH,6,N,1,0.14,0.2121,0.63,0,10
springer,jan,8,NH,6,N,1,0.14,0.1515,0.63,0.1343,23
springer,jan,9,NH,6,N,1,0.16,0.1818,0.64,0.1343,33
springer,jan,10,NH,6,N,1,0.18,0.197,0.59,0.1642,59
springer,jan,11,NH,6,N,1,0.2,0.197,0.55,0.2239,72
springer,jan,12,NH,6,N,1,0.24,0.2273,0.48,0.2239,89
springer,jan,13,NH,6,N,1,0.28,0.2576,0.38,0.2985,101
springer,jan,14,NH,6,N,1,0.3,0.2879,0.39,0.2836,118
springer,jan,15,NH,6,N,2,0.32,0.3182,0.36,0.194,129
springer,jan,16,NH,6,N,2,0.34,0.3333,0.34,0.194,128
springer,jan,17,NH,6,N,2,0.32,0.303,0.36,0.2836,83
springer,jan,18,NH,6,N,2,0.3,0.2879,0.45,0.2537,84
springer,jan,19,NH,6,N,2,0.32,0.303,0.39,0.2537,74
springer,jan,20,NH,6,N,2,0.32,0.303,0.39,0.2537,41
springer,jan,21,NH,6,N,2,0.32,0.303,0.39,0.2239,57
springer,jan,22,NH,6,N,2,0.3,0.3182,0.42,0.1045,26
springer,jan,23,NH,6,N,1,0.3,0.2879,0.45,0.2836,44
springer,jan,0,NH,0,N,1,0.26,0.303,0.56,0,39
springer,jan,1,NH,0,N,1,0.26,0.2727,0.56,0.1343,23
springer,jan,2,NH,0,N,1,0.26,0.2879,0.56,0.0896,16
springer,jan,3,NH,0,N,1,0.22,0.2727,0.69,0,15
springer,jan,4,NH,0,N,1,0.26,0.2576,0.56,0.1642,1
springer,jan,5,NH,0,N,2,0.26,0.2576,0.56,0.1642,2
springer,jan,6,NH,0,N,2,0.26,0.2576,0.56,0.1642,1
springer,jan,7,NH,0,N,2,0.24,0.2121,0.56,0.2985,3
springer,jan,8,NH,0,N,1,0.22,0.2121,0.55,0.2836,18
springer,jan,9,NH,0,N,1,0.22,0.2121,0.51,0.2537,32
springer,jan,10,NH,0,N,1,0.22,0.2121,0.51,0.2836,79
springer,jan,11,NH,0,N,1,0.24,0.2273,0.44,0.2537,93
springer,jan,12,NH,0,N,1,0.24,0.2121,0.41,0.2836,104
springer,jan,13,NH,0,N,1,0.26,0.2273,0.35,0.2985,118
springer,jan,14,NH,0,N,1,0.28,0.2727,0.36,0.2537,91
springer,jan,15,NH,0,N,1,0.26,0.2424,0.38,0.2537,113
springer,jan,16,NH,0,N,1,0.24,0.2273,0.38,0.2239,99
springer,jan,17,NH,0,N,1,0.22,0.2121,0.37,0.2537,105
springer,jan,18,NH,0,N,1,0.2,0.2121,0.4,0.1642,67
springer,jan,19,NH,0,N,1,0.18,0.197,0.47,0.1343,61
springer,jan,20,NH,0,N,1,0.18,0.197,0.47,0.1642,57
springer,jan,21,NH,0,N,1,0.18,0.197,0.51,0.1642,28
springer,jan,22,NH,0,N,2,0.2,0.2121,0.49,0.1343,21
springer,jan,23,NH,0,N,2,0.2,0.2273,0.4,0.1045,18
springer,jan,0,H,1,N,2,0.2,0.197,0.47,0.2239,17
springer,jan,1,H,1,N,2,0.2,0.197,0.44,0.194,16
springer,jan,2,H,1,N,2,0.18,0.1667,0.43,0.2537,8
